index,L_mean,A_mean,B_mean
0,46.85394,9.872797,28.40112
1,53.588497,0.51417613,-0.11073527
2,54.49044,-0.9583504,1.1751901
3,36.05417,2.8518214,17.604317
4,42.160187,0.09239614,-8.421643
5,39.159195,28.356125,22.419243
6,59.139954,-21.682617,30.502142
7,54.496513,-5.933309,19.74222
8,62.09153,-5.3288374,-21.648336
9,29.43959,1.1988255,6.9739
10,33.60794,-5.030467,10.555271
11,57.731567,5.955857,7.358303
12,56.291687,-8.470605,2.616516
13,29.68684,4.285576,-0.7708235
14,40.528202,-3.6574426,6.5324745
15,58.03109,-4.1212735,-12.039733
16,58.01975,-1.9349728,2.842593
17,37.493584,3.2757306,4.571032
18,52.427086,5.1288285,6.329184
19,52.87094,-10.460838,7.307904
20,71.21758,-0.34494945,-2.6751838
21,47.3587,63.25413,33.842094
22,30.247597,1.5607704,11.803934
23,44.220436,2.0834403,19.297812
24,37.048515,0.20334205,4.6579475
25,55.35389,0.03583026,10.574648
26,36.924133,7.6999726,18.136986
27,29.479956,0.98880905,-0.49648714
28,53.407005,-1.1350288,9.379823
29,59.273262,-0.10349706,-0.53929615
30,53.03883,3.2484965,3.9913797
31,52.254192,-0.7071016,4.4796267
32,40.97028,-1.7769506,1.9179244
33,51.025265,-0.005596161,8.066956
34,56.88404,-9.940729,22.381573
35,51.75292,1.9382997,33.28381
36,66.80203,-0.063215435,2.9433835
37,37.839516,-4.6747446,5.63815
38,52.65812,3.939644,-6.482587
39,48.40735,-4.977749,4.2072983
40,48.88659,0.49150687,11.11301
41,76.87334,3.208808,20.903614
42,59.175785,-3.1379728,17.408195
43,57.938286,8.837507,13.263758
44,44.131107,-2.8139625,8.287348
45,41.249466,10.890112,16.12172
46,46.08718,-0.9321437,2.9836016
47,41.438423,-4.736006,-15.961829
48,77.86673,-10.263502,13.187584
49,77.18147,0.618616,0.34150046
50,41.378387,-7.202192,-3.2816963
51,47.789207,12.479418,13.374554
52,46.993755,-0.15267348,14.989769
53,67.93608,-3.7334375,1.3308579
54,37.3908,-15.815877,20.2158
55,63.480988,-9.487348,12.989051
56,45.849777,11.665952,27.807795
57,33.042442,-2.0587444,12.587655
58,50.278168,0.12507634,28.578403
59,40.72512,1.2682881,-7.923209
60,47.327484,3.5102448,-4.0961514
61,56.766888,-0.87187845,-0.11471838
62,49.803932,-2.785612,-15.166882
63,35.257774,-11.210495,10.023959
64,45.053932,11.307095,6.7325215
65,55.785126,2.3024304,-1.006951
66,49.474262,-2.3064654,17.523537
67,57.55092,19.228535,-5.2802343
68,36.262352,2.1895375,6.55395
69,52.7528,-1.2266117,-1.3281873
70,48.93902,-8.835156,3.876288
71,34.071922,-3.168497,7.799094
72,46.377823,2.1451576,0.9326134
73,36.436092,-2.6052153,6.4993944
74,58.14659,-12.008331,6.133418
75,49.571716,2.4251707,2.0627413
76,61.55904,-4.1267114,-2.6228354
77,44.16098,-14.507948,10.789796
78,47.91269,-1.9945059,4.8718395
79,71.71695,-1.2293776,0.45438403
80,53.555336,0.65035367,-2.2389512
81,41.900726,-1.1560684,1.6383724
82,55.084206,-14.326494,21.639515
83,53.252983,-1.1657977,-11.832876
84,43.545506,3.7287667,7.511162
85,21.43819,7.066263,3.3433113
86,46.587414,-7.543842,15.423265
87,54.395496,-13.620556,25.9911
88,32.99261,13.068925,6.5149746
89,53.60636,-4.2591653,15.441742
90,53.73323,3.8289018,10.919319
91,42.495663,12.38889,-3.7617092
92,63.74701,-0.26349068,-4.1006117
93,42.07605,-2.4433963,3.0724416
94,53.351326,4.8125706,4.614087
95,77.911125,-22.649702,44.921246
96,37.588158,-2.2477167,0.7717843
97,40.77392,-4.5494356,8.164417
98,47.488514,-0.05721724,21.001358
99,35.377914,15.744808,26.248081
100,73.4591,-2.712179,-5.886371
101,43.932053,0.76506776,5.5445557
102,52.91948,14.099567,13.912256
103,30.711182,17.083866,5.8097534
104,33.52242,-16.535175,23.072754
105,67.252304,-0.65940607,-5.541097
106,49.400845,2.5195532,-14.866268
107,42.233566,11.946647,11.0458145
108,71.55035,2.665669,1.7215846
109,57.517223,-3.1498291,-9.964457
110,49.92305,-0.45720994,-2.4460974
111,47.96623,-6.5531034,-7.8880224
112,44.450592,-0.24663684,-8.537265
113,49.703953,2.064086,13.541202
114,58.427402,11.535148,20.780962
115,66.95305,-0.0017408237,0.0033032324
116,47.5494,0.5194303,-0.6677905
117,50.498684,7.6841164,7.745915
118,68.888054,4.6561728,0.23817587
119,68.85674,-0.4974334,-1.5517623
120,62.3455,0.37747476,9.852455
121,48.607574,-1.0359988,18.415895
122,55.899193,1.1870484,2.4209645
123,62.29586,3.5796542,-2.8059354
124,36.516457,8.196114,12.174038
125,58.53359,7.431094,9.624235
126,58.37989,-3.492869,-3.8262944
127,66.619514,-0.0017445709,0.00331364
128,40.568073,-0.05936891,6.9897285
129,66.80162,-2.0430882,-15.419996
130,56.74862,-5.9044166,18.53334
131,72.19493,3.5227692,8.51338
132,36.344418,-1.4156429,7.6239467
133,52.787617,9.119827,7.4248524
134,14.188398,3.3380718,4.1231413
135,47.85237,-3.4093947,-2.3523426
136,38.34658,11.835403,7.9727106
137,62.646435,-0.8260658,-3.2461047
138,68.921814,3.3870893,6.2528944
139,51.276825,-0.001409906,0.0026748807
140,60.606968,14.587394,15.041752
141,55.110992,8.240822,24.696554
142,32.075172,2.613666,3.8060904
143,53.266537,-5.52703,18.399132
144,66.71742,-7.1923547,23.806633
145,39.550716,-4.6138563,-1.3046851
146,42.277367,1.1851447,5.040432
147,55.039078,4.044962,5.852758
148,48.331184,5.531271,15.390077
149,54.07464,-5.4812665,6.2259507
150,48.34517,-1.131813,7.266552
151,51.2595,2.0620196,-0.7598758
152,53.47493,-12.468749,14.384198
153,60.51374,-8.400925,0.38889217
154,60.23163,0.021650195,4.8713083
155,63.10756,0.33858055,-4.2123737
156,62.92688,-11.693224,14.612467
157,44.38121,2.210011,6.776334
158,54.960632,-3.5476964,16.753025
159,38.147964,-6.8760433,5.9400845
160,76.05812,0.051024593,-0.13901854
161,56.60687,-2.1089232,-6.1536417
162,16.1544,1.8645232,3.06765
163,37.0951,-4.97586,13.110926
164,37.86481,3.0208054,10.719698
165,52.632507,-4.356367,15.111751
166,48.801285,11.824575,9.288577
167,50.80691,4.488591,20.92829
168,29.729692,1.7749841,-5.8398037
169,58.123016,-2.093905,12.833782
170,42.342552,-1.8010594,2.3492627
171,57.429455,1.8414757,2.4656827
172,58.468407,-5.9668527,15.668038
173,35.522636,3.7811413,1.2525382
174,52.44731,9.288252,0.26754177
175,42.566933,0.73906577,4.7505226
176,47.589397,0.13691342,6.634467
177,43.688763,-7.4599457,5.364201
178,45.07052,-3.6463258,28.408522
179,24.636189,1.3003223,-2.5446184
